0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:28 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:30 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:32 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:32 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:32 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:33 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:33 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:33 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:33 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:35 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:37 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:39 +0900] "GET /chat/Ok?input=%EC%8A%A4%ED%83%80%EC%9D%BC HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /chatbot HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /resources/YJH/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /resources/YJH/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /resources/YJH/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:14 +0900] "GET /favicon.ico HTTP/1.1" 404 992
